Cell,celltypes
Cell367,Endocardium
Cell368,Endocardium
Cell369,Endocardium
Cell370,Endocardium
Cell371,Endocardium
Cell372,Endocardium
Cell373,Endocardium
Cell374,Endocardium
Cell375,Endocardium
Cell376,Endocardium
Cell377,Endocardium
Cell378,Endocardium
Cell379,Endocardium
Cell380,Endocardium
Cell381,Endocardium
Cell382,Endocardium
Cell383,Endocardium
Cell384,Endocardium
Cell385,Endocardium
Cell386,Endocardium
Cell387,Endocardium
Cell388,Endocardium
Cell389,Endocardium
Cell390,Endocardium
Cell391,Endocardium
Cell392,Endocardium
Cell393,Endocardium
Cell394,Endocardium
Cell395,Endocardium
Cell396,Endocardium
Cell397,Endocardium
Cell398,Endocardium
Cell399,Endocardium
Cell400,Endocardium
Cell401,Endocardium
Cell402,Endocardium
Cell403,Endocardium
Cell404,Endocardium
Cell405,Endocardium
Cell406,Endocardium
Cell407,Endocardium
Cell408,Endocardium
Cell409,Endocardium
Cell410,Endocardium
Cell411,Endocardium
Cell412,Endocardium
Cell413,Endocardium
Cell414,Endocardium
Cell415,Endocardium
Cell416,Endocardium
Cell417,Endocardium
Cell418,Endocardium
Cell419,Endocardium
Cell420,Endocardium
Cell421,Endocardium
Cell422,Endocardium
Cell423,Endocardium
Cell424,Endocardium
Cell425,Endocardium
Cell426,Endocardium
Cell427,Endocardium
Cell428,Endocardium
Cell429,Endocardium
Cell430,Endocardium
Cell431,Endocardium
Cell432,Endocardium
Cell433,Endocardium
Cell434,Endocardium
Cell435,Endocardium
Cell436,Endocardium
Cell437,Endocardium
Cell438,Endocardium
Cell439,Endocardium
Cell440,Endocardium
Cell441,Endocardium
Cell442,Endocardium
Cell443,Endocardium
Cell444,Endocardium
Cell445,Endocardium
Cell446,Endocardium
Cell447,Endocardium
Cell448,Endocardium
Cell449,Endocardium
Cell450,Endocardium
Cell451,Endocardium
Cell452,Endocardium
Cell453,Endocardium
Cell454,Endocardium
Cell455,Endocardium
Cell456,Endocardium
Cell457,Endocardium
Cell458,Endocardium
Cell459,Endocardium
Cell460,Endocardium
Cell461,Endocardium
Cell462,Endocardium
Cell463,Endocardium
Cell464,Endocardium
Cell465,Endocardium
Cell466,Endocardium
Cell467,Endocardium
Cell468,Endocardium
Cell469,Endocardium
Cell470,Endocardium
Cell471,Endocardium
Cell472,Endocardium
Cell473,Endocardium
Cell474,Endocardium
Cell475,Endocardium
Cell476,Endocardium
Cell477,Endocardium
Cell478,Endocardium
Cell479,Endocardium
Cell480,Endocardium
Cell481,Endocardium
Cell482,Endocardium
Cell483,Endocardium
Cell484,Endocardium
Cell485,Endocardium
Cell486,Endocardium
Cell487,Endocardium
Cell488,Endocardium
Cell489,Endocardium
Cell490,Endocardium
Cell491,Endocardium
Cell492,Endocardium
Cell493,Endocardium
Cell494,Endocardium
Cell495,Endocardium
Cell496,Endocardium
Cell497,Endocardium
Cell498,Endocardium
Cell499,Endocardium
Cell500,Endocardium
Cell501,Endocardium
Cell502,Endocardium
